Product Code,Product Name,Inventory Name,Inventory Code,UOM,Quantity,Restorable,HSN,Tax,Veg/Non-Veg
PRD779761136,Mango Mithai Box of 3 (SLM)(BSS),Mango Mithai Box of 3 SLM BSS,SLMBSSABCD,Each,1,Yes,210690,5%,Veg
PRD314173721,Dark Chocolate Aam Bar (SLM)(BSS),Dark Chocolate Aam Bar SLM BSS,SLMBSSEFGH,Each,1,Yes,180690,5%,Veg
PRD252750015,Mango Ghevar (SLM)(BSS),Mango Ghevar SLM BSS,SLMBSSIJKL,Each,1,Yes,210690,5%,Veg
PRD044217949,Dark Chocolate Mango Toffee (SLM)(BSS),Dark Chocolate Mango Toffee SLM BSS,SLMBSSMNOP,Each,1,Yes,180690,5%,Veg
PRD848839590,Mango Matcha Rasgulla Tiramisu (SLM)(BSS),Mango Matcha Rasgulla Tiramisu SLM BSS,SLMBSSQRST,Each,1,Yes,210690,5%,Veg
PRD900146107,Mango Kalakand Cheesecake (SLM)(BSS),Mango Kalakand Cheesecake SLM BSS,SLMBSSUVMKC,Each,1,Yes,210690,5%,Veg
PRD110677333,Assorted Mithai Box of 9 (SLM)(BSS),Assorted Mithai Box of 9 SLM BSS,SLMBSSYZAB,Each,1,Yes,180690,5%,Veg
PRD214780630,Mango Mania Gift Bag (SLM)(BSS),Mango Mania Gift Bag SLM BSS,SLMBSSBCDE,Each,1,Yes,180690,5%,Veg
PRD250537937,Sweet Tooth Combo (SLM)(BSS),Sweet Tooth Combo SLM BSS,SLMBSSCDEF,Each,1,Yes,210690,5%,Veg
PRD701589281,Mango Delights Hamper (SLM)(BSS),Mango Delights Hamper SLM BSS,SLMBSSDEFG,Each,1,Yes,180690,5%,Veg
PRD519654506,Assorted Mithai Box of 18 (SLM)(BSS),Assorted Mithai Box of 18 SLM BSS,SLMBSSFGHI,Each,1,Yes,180690,5%,Veg
PRD904584609,Coffee Fudge Crunch (SLM)(BSS),Coffee Fudge Crunch SLM BSS,SLMBSSGHIJ,Each,1,Yes,180690,5%,Veg
PRD180144022,Tender Coconut Naga Chilli (SLM)(BSS),Tender Coconut Naga Chilli SLM BSS,SLMBSSHIJK,Each,1,Yes,210690,5%,Veg
PRD431779343,Assorted Mithai Box of 3 (SLM)(BSS),Assorted Mithai Box of 3 SLM BSS,SLMBSSJKLM,Each,1,Yes,210690,5%,Veg
PRD939248942,Guilt-Free Sweet Treats Box of 3 (SLM)(BSS),Guilt-Free Sweet Treats Box of 3 SLM BSS,SLMBSSKLMN,Each,1,Yes,180690,5%,Veg
PRD926635322,Mighty Motichur Laddu - Box of 9 (SLM)(BSS),Mighty Motichur Laddu - Box of 9 SLM BSS,SLMBSSLMNO,Each,1,Yes,210690,5%,Veg
PRD391168775,Guilt-Free Sweet Treats Box of 9 (SLM)(BSS),Guilt-Free Sweet Treats Box of 9 SLM BSS,SLMBSSNOPQ,Each,1,Yes,180690,5%,Veg
PRD112714338,Dark Chocolate Easter Bunny (SLM)(BSS),Dark Chocolate Easter Bunny SLM BSS,SLMBSSOPQR,Each,1,Yes,180690,5%,Veg
PRD789882943,Chocolate Khaja Chirote (SLM)(BSS),Chocolate Khaja Chirote SLM BSS,SLMBSSPQRS,Each,1,Yes,180690,5%,Veg
PRD711940518,Leezu's Dilbar - Strawberry Cheesecake Patissa (SLM)(BSS),Leezu's Dilbar - Strawberry Cheesecake Patissa SLM BSS,SLMBSSRSTU,Each,1,Yes,180690,5%,Veg
PRD584171152,Indie Bar - Coconut Caramel Patissa (SLM)(BSS),Indie Bar - Coconut Caramel Patissa SLM BSS,SLMBSSSINDB,Each,1,Yes,180690,5%,Veg
PRD240818941,Choco Kunafa Dates (SLM)(BSS),Choco Kunafa Dates SLM BSS,SLMBSSTUVW,Each,1,Yes,180690,5%,Veg
