Invoice_Number,Dispatch_Date,Planned_Delivery_Date,Kitchen_Code,Store_Name,rebel_inventory_code,Product_Name,batch_id,dispatch_quantity,Remark
BSS-N-TAR-12814,17/06/26,17/06/26,FFSMU093,Airoli FC,SLMBSSIJKL,Mango Ghevar SLM BSS,,2,
BSS-N-TAR-12814,17/06/26,17/06/26,FFSMU093,Airoli FC,SLMBSSABCD,Mango Mithai Box of 3 SLM BSS,,2,
BSS-N-TAR-12814,17/06/26,17/06/26,FFSMU093,Airoli FC,SLMBSSQXRY,Rasgulla Basundi SLM BSS,,2,
BSS-N-TAR-12814,17/06/26,17/06/26,FFSMU093,Airoli FC,SLMBSSIXJY,Coffee Rasgulla Tiramisu SLM BSS,,10,
BSS-N-TAR-12814,17/06/26,17/06/26,FFSMU093,Airoli FC,SLMBSSOXPY,Sweet Shop Kesar Rasmalai (2pcs) SLM BSS,,3,
BSS-N-TAR-12814,17/06/26,17/06/26,FFSMU093,Airoli FC,SLMBSSUVMKC,Mango Kalakand Cheesecake SLM BSS,,3,
BSS-N-TAR-12814,17/06/26,17/06/26,FFSMU093,Airoli FC,SLMBSSQRST,Mango Matcha Rasgulla Tiramisu SLM BSS,,3,
BSS-N-TAR-12814,17/06/26,17/06/26,FFSMU093,Airoli FC,SLMBSSYZAB,Assorted Mithai Box of 9 SLM BSS,,3,
BSS-N-TAR-12814,17/06/26,17/06/26,FFSMU093,Airoli FC,SLMBSSEFGH,Dark Chocolate Aam Bar SLM BSS,,5,
BSS-N-TAR-12814,17/06/26,17/06/26,FFSMU093,Airoli FC,SLMBSSMNOP,Dark Chocolate Mango Toffee SLM BSS,,10,
BSS-N-TAR-12814,17/06/26,17/06/26,FFSMU093,Airoli FC,SLMBSSLMNO,Mighty Motichur Laddu - Box of 9 SLM BSS,,5,
BSS-N-TAR-12814,17/06/26,17/06/26,FFSMU093,Airoli FC,SLMBSSXYZA,Bombay's 3-Layer Chocolate Fudge - Classic SLM BSS,,5,
BSS-N-TAR-12814,17/06/26,17/06/26,FFSMU093,Airoli FC,SLMBSSZABC,Indie Bites - 54.5% Dark Chocolate Kaju Katli SLM BSS,,5,
BSS-N-TAR-12814,17/06/26,17/06/26,FFSMU093,Airoli FC,SLMBSSAPFL,Aamras Passion Fruit Lassi SLM BSS,,4,
BSS-N-TAR-12814,17/06/26,17/06/26,FFSMU093,Airoli FC,SLMBSSMNXY,Bhakarwadi Dates Kachori Pack of 1 SLM BSS,,10,
