"Data Import Template"
"Table:","Warehouse"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Warehouse","","","","","","","","","","","","","","","","",""
"Column Labels:","ID","Warehouse Name","Company","Created On","Created By","Is Group Warehouse","Parent Warehouse","Is Rejected Warehouse","Account","Phone No","Mobile No","Address Line 1","Address Line 2","City","State/Province","PIN","Warehouse Type","Default In-Transit Warehouse"
"Column Name:","name","warehouse_name","company","creation","owner","is_group","parent_warehouse","is_rejected_warehouse","account","phone_no","mobile_no","address_line_1","address_line_2","city","state","pin","warehouse_type","default_in_transit_warehouse"
"Mandatory:","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Type:","Data","Data","Link","Datetime","Link","Check","Link","Check","Link","Data","Data","Data","Data","Data","Data","Data","Link","Link"
"Info:","","","Valid Company","dd-mm-yyyy","Valid User","0 or 1","Valid Warehouse","0 or 1","Valid Account","","","","","","","","Valid Warehouse Type","Valid Warehouse"
"Start entering data below this line"
"","""All Warehouses - HIHPL""","All Warehouses","Hunger Inc Hospitality Private Limited","2026-05-04 19:04:42.256354","Administrator",1,"",0,"","","","","","","","","",""
"","""Stores - HIHPL""","Stores","Hunger Inc Hospitality Private Limited","2026-05-04 19:04:42.269328","Administrator",0,"All Warehouses - HIHPL",0,"","","","","","","","","",""
"","""Finished Goods - HIHPL""","Finished Goods","Hunger Inc Hospitality Private Limited","2026-05-04 19:04:42.292611","Administrator",0,"All Warehouses - HIHPL",0,"","","","","","","","","",""
"","""BSS GIFTING - HIHPL""","BSS GIFTING","Hunger Inc Hospitality Private Limited","2026-05-08 17:46:24.792957","Administrator",0,"All Warehouses - HIHPL",0,"","","","","","","","","",""
"","""BSS - EVENTS - HIHPL""","BSS - EVENTS","Hunger Inc Hospitality Private Limited","2026-05-11 11:59:52.675381","Administrator",0,"All Warehouses - HIHPL",0,"","","","","","","","","",""
"","""Head Office (HO) - HIHPL""","Head Office (HO)","Hunger Inc Hospitality Private Limited","2026-05-11 12:03:34.788583","Administrator",0,"All Warehouses - HIHPL",0,"","","","","","","","","",""
"","""Staff Welfare - HIHPL""","Staff Welfare","Hunger Inc Hospitality Private Limited","2026-05-11 12:09:33.419418","Administrator",0,"All Warehouses - HIHPL",0,"","","","","","","","","",""
"","""SAMPLING - HIHPL""","SAMPLING","Hunger Inc Hospitality Private Limited","2026-05-11 12:09:50.349716","Administrator",0,"All Warehouses - HIHPL",0,"","","","","","","","","",""
"","""Rebel Warehouse - HIHPL""","Rebel Warehouse","Hunger Inc Hospitality Private Limited","2026-06-02 16:59:50.105155","Administrator",1,"All Warehouses - HIHPL",0,"","","","","","","","","",""
"","""REBEL - AIROLI - HIHPL""","REBEL - AIROLI","Hunger Inc Hospitality Private Limited","2026-06-02 16:59:58.306397","Administrator",0,"Rebel Warehouse - HIHPL",0,"","","","","","","","","",""
"","""REBEL - CBD BELAPUR - HIHPL""","REBEL - CBD BELAPUR","Hunger Inc Hospitality Private Limited","2026-06-02 17:01:49.787749","Administrator",0,"Rebel Warehouse - HIHPL",0,"","","","","","","","","",""
