BSS — HyperKitchen/CakeZone SKU → ERP Item mapping,,,,,,,,,,,,
"No numeric key exists (HK Sku/Id ≠ ERP Shopify SKU) → matched by product name. REVIEW col E, then col J 'HK SKU to write' becomes the custom_hk_sku import.",,,,,,,,,,,,
,,,,,,,,,,,,
HK Id,Brand / Category,HK SKU,HK Product Name,Match quality,Score,ERP Item Code,ERP Item Name,ERP Shopify SKU,HK SKU to write,Size/qty check,Top full-catalog candidates,
10306768,Bombay Sweet Shop,11270,#_# Assorted Mithai (Box of 3) - BSS,REVIEW — SIZE/QTY MISMATCH,95,"MITH-ASM-3PCS this will come on ERRP soon let it be for now with this name only, so leave it as it is. ",Assorted Mithai Box of 9,MITH-ASM-9PCS,11270,pcs/box: HK=[3] vs ERP=[9],MITH-ASM-9PCS=Assorted Mithai Box of 9 (95) | MITH-ASM-18PCS=Assorted Mithai Box of 18 (93) | BSS-1473=ASSORTED MITHAI - BOX OF 4 (RTS) (88),MITH-ASM-MNG-3 PC
15959007,Bombay Sweet Shop,14982,#_# Roasted Makhana & Peanut Till Chikki - 50g - BSS,REVIEW — SIZE/QTY MISMATCH,88,CHIK-MAK-50GM,Roasted Makhana & Peanut Chikki (100g)-Pack of 1,CHIK-MAK-100GM,14982,g: HK=[50] vs ERP=[100],CHIK-MAK-50GM=Roasted Makhana & Peanut Chikki (50g)-Pack of 1 (92) | BSS-4407=Roasted Makhana & Peanut Chikki (100g) (88) | BSS-1922=BOX - ROASTED MAKHANA & PEANUT CHIKKI 50GMS (85),
22244546,Bombay Sweet Shop,20458,#_# Aamras Passion Fruit Lassi - BSS,STRONG (shopify catalog),100,FRE-AAM-LASSI-ML,Aamras Passion Fruit Lassi,FRE-AAM-LASSI-ML,20458,,FRE-AAM-LASSI-ML=Aamras Passion Fruit Lassi (100) | BSS-4311=STICKER - AAMRAS PASSION FRUIT LASSI (2026) (80) | BSS-4248=AAMRAS PASSIONFRUIT LASSI (78),
10306458,Bombay Sweet Shop,9639,#_# Assorted Mithai (Box of 9) - BSS,STRONG (shopify catalog),100,MITH-ASM-9PCS,Assorted Mithai Box of 9,MITH-ASM-9PCS,9639,,MITH-ASM-9PCS=Assorted Mithai Box of 9 (100) | MITH-ASM-18PCS=Assorted Mithai Box of 18 (93) | PRODUCT449553=Assorted Holi Mithai-Box of 9 (90),
10306465,Bombay Sweet Shop,9640,#_# Assorted Mithai Box (Box of 18) - BSS,STRONG (shopify catalog),92,MITH-ASM-18PCS,Assorted Mithai Box of 18,MITH-ASM-18PCS,9640,,MITH-ASM-18PCS=Assorted Mithai Box of 18 (92) | PRODUCT449554=Assorted Holi Mithai-Box of 18 (91) | MITH-ASM-9PCS=Assorted Mithai Box of 9 (86),
20405389,Bombay Sweet Shop,18888,#_# Bhakarwadi Dates Kachori - BSS,"STRONG (full catalog, no Shopify SKU)",100,NAMK-BD-KACHORI-130GM,Bhakarwadi Dates Kachori,,18888,,Bhakarwadi Dates Kachori=Bhakarwadi Dates Kachori (100) | BSS-3574=READY - BHAKARWADI DATES KACHORI 130GM (80) | BSS-2671=STICKER - BHAKARWADI DATES KACHORI ( FOP) 2025 (73),
10306521,Bombay Sweet Shop,9650,#_# Bombay Bhel Chikki Bar (90g) - BSS,STRONG (shopify catalog),91,CHIK-BB-90GM,Bombay Bhel Chikki (90g)-Pack of 1,CHIK-BB-90GM,9650,,BSS-4410=Bombay Bhel Chikki (90g) (91) | BSS-1515=BOMBAY BHEL CHIKKI BAR 90GMS ( RTS ) (89) | BSS-4286=REPACK BOMBAY BHEL CHIKKI BAR 90GMS (85),
21746398,Bombay Sweet Shop,19981,#_# Bombay Corn Chivda 200gms - BSS,"STRONG (full catalog, no Shopify SKU)",95,NAMK-BOM-CORN -200GM,Bombay Corn Chivda (200g),,19981,,Bombay Corn Chivda (200g)=Bombay Corn Chivda (200g) (95) | Bombay Corn Chivda (70g)=Bombay Corn Chivda (70g) (89) | BSS-1758=BOMBAY CORN CHIVDA (83),
19917424,Bombay Sweet Shop,18457,#_# Bombay Corn Chivda 70gms - BSS,"STRONG (full catalog, no Shopify SKU)",95,NAMK-BOM-CORN-70GM,Bombay Corn Chivda (70g),,18457,,Bombay Corn Chivda (70g)=Bombay Corn Chivda (70g) (95) | Bombay Corn Chivda (200g)=Bombay Corn Chivda (200g) (89) | BSS-1758=BOMBAY CORN CHIVDA (85),
10306472,Bombay Sweet Shop,9641,#_# Bombay's 3-Layer Chocolate Fudge (Classic) - BSS,"STRONG (full catalog, no Shopify SKU)",100,FUD-CLS-145GM-001,Bombay's 3-Layer Chocolate Fudge-Classic,,9641,,FUD-CLS-145GM-001=Bombay's 3-Layer Chocolate Fudge-Classic (100) | Bombay's 3-Layer Chocolate Fudge=Bombay's 3-Layer Chocolate Fudge (88) | PRODUCT425818=Chocolate Fudge Modak - Box of 9 (62),
